show,season,episode,name,rating
The Simpsons,4,22,Krusty Gets Kancelled,7.3
The Simpsons,5,1,Homer's Barbershop Quartet,7.9
The Simpsons,5,2,Cape Feare,8.8
The Simpsons,5,3,Homer Goes to College,9.3
The Simpsons,5,4,Rosebud,8.9
The Simpsons,5,5,Treehouse of Horror IV,8.7
The Simpsons,5,6,Marge on the Lam,8.5
The Simpsons,5,7,Bart's Inner Child,7.9
The Simpsons,5,8,Boy-Scoutz 'n the Hood,8.3
The Simpsons,5,9,The Last Temptation of Homer,8.9
The Simpsons,5,10,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.8
The Simpsons,5,11,Homer the Vigilante,9.2
The Simpsons,5,12,Bart Gets Famous,7.9
The Simpsons,5,13,Homer and Apu,8.8
The Simpsons,5,14,Lisa vs. Malibu Stacy,8.7
The Simpsons,5,15,Deep Space Homer,9
The Simpsons,5,16,Homer Loves Flanders,8.9
The Simpsons,5,17,Bart Gets an Elephant,7.8
The Simpsons,5,18,Burns' Heir,8.8
The Simpsons,5,19,Sweet Seymour Skinner's Baadasssss Song,8.9
The Simpsons,5,20,The Boy Who Knew Too Much,8.7
The Simpsons,5,21,Lady Bouvier's Lover,8
The Simpsons,5,22,Secrets of a Successful Marriage,9.1
The Simpsons,6,1,Bart of Darkness,9.2
The Simpsons,6,2,Lisa's Rival,8.2
The Simpsons,6,3,Another Simpsons Clip Show,6.4
The Simpsons,6,4,Itchy & Scratchy Land,9
The Simpsons,6,5,Sideshow Bob Roberts,8.5
The Simpsons,6,6,Treehouse of Horror V,9.6
The Simpsons,6,7,Bart's Girlfriend,8.3
The Simpsons,6,8,Lisa on Ice,8.9
The Simpsons,6,9,Homer Badman,8.9
The Simpsons,6,10,Grandpa vs. Sexual Inadequacy,8.7
The Simpsons,6,11,Fear of Flying,8.3
The Simpsons,6,12,Homer the Great,9.1
The Simpsons,6,13,And Maggie Makes Three,9.3
The Simpsons,6,14,Bart's Comet,9.1
The Simpsons,6,15,Homie the Clown,9.1
The Simpsons,6,16,Bart vs. Australia,8.9
The Simpsons,6,17,Homer vs. Patty and Selma,7.6
The Simpsons,6,18,A Star is Burns,8.6
The Simpsons,6,19,Lisa's Wedding,8.3
The Simpsons,6,20,Two Dozen and One Greyhounds,8.2
The Simpsons,6,21,The PTA Disbands,9
The Simpsons,6,22,Round Springfield,8.8
The Simpsons,6,23,The Springfield Connection,8.6
The Simpsons,6,24,Lemon of Troy,9.1
The Simpsons,6,25,Who Shot Mr. Burns? (1),8.8
The Simpsons,7,1,Who Shot Mr. Burns? (2),8.2
The Simpsons,7,2,Radioactive Man,8.3
The Simpsons,7,3,Home Sweet Homediddly-Dum-Doodily,8.3
The Simpsons,7,4,Bart Sells His Soul,8.8
The Simpsons,7,5,Lisa the Vegetarian,8.4
The Simpsons,7,6,Treehouse of Horror VI,8.6
The Simpsons,7,7,King-Size Homer,8.5
The Simpsons,7,8,Mother Simpson,8.5
The Simpsons,7,9,Sideshow Bob's Last Gleaming,8
The Simpsons,7,10,The Simpsons 138th Episode Spectacular,7.2
The Simpsons,7,11,Marge Be Not Proud,7.4
The Simpsons,7,12,Team Homer,7.3
The Simpsons,7,13,Two Bad Neighbors,7.1
The Simpsons,7,14,Scenes from the Class Struggle in Springfield,7.4
The Simpsons,7,15,Bart the Fink,7.5
The Simpsons,7,16,Lisa the Iconoclast,7.5
The Simpsons,7,17,Homer the Smithers,8.6
The Simpsons,7,18,The Day the Violence Died,8.1
The Simpsons,7,19,A Fish Called Selma,8.3
The Simpsons,7,20,Bart on the Road,9.3
The Simpsons,7,21,22 Short Films About Springfield,8.5
The Simpsons,7,22,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",8
The Simpsons,7,23,Much Apu About Nothing,7.9
The Simpsons,7,24,Homerpalooza,7.8
The Simpsons,7,25,Summer of 4 ft. 2,8.6
The Simpsons,8,1,Treehouse of Horror VII,8
The Simpsons,8,2,You Only Move Twice,8.6
The Simpsons,8,3,The Homer They Fall,7.8
The Simpsons,8,4,"Burns, Baby Burns",7.9
The Simpsons,8,5,Bart After Dark,8.2
The Simpsons,8,6,A Milhouse Divided,8.2
The Simpsons,8,7,Lisa's Date with Density,7.8
The Simpsons,8,8,Hurricane Neddy,8.3
The Simpsons,8,9,El Viaje de Nuestro Jomer (The Mysterious Voyage of Homer),8.5
The Simpsons,8,10,The Springfield Files,8.3
The Simpsons,8,11,The Twisted World of Marge Simpson,7.7
The Simpsons,8,12,Mountain of Madness,8
The Simpsons,8,13,Simpsoncalifragilisticexpiala (Annoyed Grunt) cious,7.1
The Simpsons,8,14,The Itchy & Scratchy & Poochie Show,8.4
The Simpsons,8,15,Homer's Phobia,8.2
The Simpsons,8,16,Brother from Another Series,7.8
The Simpsons,8,17,"My Sister, My Sitter",7.9
The Simpsons,8,18,Homer vs. the Eighteenth Amendment,8.1
The Simpsons,8,19,Grade School Confidential,8.1
The Simpsons,8,20,The Canine Mutiny,7.7
The Simpsons,8,21,The Old Man and Lisa,8
The Simpsons,8,22,In Marge We Trust,8.2
The Simpsons,8,23,Homer's Enemy,8.1
The Simpsons,8,24,The Simpsons Spin-Off Showcase,7.6
The Simpsons,8,25,The Secret War of Lisa Simpson,8.5
The Simpsons,9,1,The City of New York vs. Homer Simpson,8.7
The Simpsons,9,2,The Principal and the Pauper,8.5
The Simpsons,9,3,Lisa's Sax,8
The Simpsons,9,4,Treehouse of Horror VIII,8.6
The Simpsons,9,5,The Cartridge Family,7.9
The Simpsons,9,6,Bart Star,7.9
The Simpsons,9,7,The Two Mrs. Nahasapeemapetilons,8.1
The Simpsons,9,8,Lisa the Skeptic,8.5
The Simpsons,9,9,Realty Bites,8.2
The Simpsons,9,10,Miracle on Evergreen Terrace,8.8
The Simpsons,9,11,"All Singing, All Dancing",7
The Simpsons,9,12,Bart Carny,8.3
The Simpsons,9,13,The Joy of Sect,8.7
The Simpsons,9,14,Das Bus,7.8
The Simpsons,9,15,The Last Temptation of Krusty,8
The Simpsons,9,16,Dumbbell Indemnity,8.3
The Simpsons,9,17,Lisa the Simpson,7.9
The Simpsons,9,18,This Little Wiggy,7.9
The Simpsons,9,19,Simpson Tide,8
The Simpsons,9,20,The Trouble with Trillions,8.2
The Simpsons,9,21,Girly Edition,8.3
The Simpsons,9,22,Trash of the Titans,8.2
The Simpsons,9,23,King of the Hill,8.5
The Simpsons,9,24,Lost Our Lisa,8.6
The Simpsons,9,25,Natural Born Kissers,8.2
The Simpsons,10,1,Lard of the Dance,7.8
The Simpsons,10,2,The Wizard of Evergreen Terrace,7.9
The Simpsons,10,3,Bart the Mother,8.1
The Simpsons,10,4,Treehouse of Horror IX,8.8
The Simpsons,10,5,When You Dish Upon a Star,8.5
The Simpsons,10,6,D'Oh-in' in the Wind,8.2
The Simpsons,10,7,"Lisa Gets an ""A""",8.4
The Simpsons,10,8,"Homer Simpson in: ""Kidney Trouble""",6.9
The Simpsons,10,9,Mayored to the Mob,7.9
